case_id,name,primary_set,level,old_source,origin_type,owner,lifecycle,fixture_id,fixture_version,input_message,input_metadata,expected_route,expected_skill,required_tools,forbidden_tools,tool_order,expected_final_state,field_assertions,hard_key_points,soft_key_points,rubric_id,regression_role,change_note,test_target
RT-001,概念解释走轻回答,functional,stage,01_intent: ir_a01,existing_test,,draft,route-fixture-v1,v1,PE 是什么,{},light_answer,light-answer,[],"[""research.*"",""deep-research.*""]",[],返回轻回答路径，不创建研究任务,"{""route.result"":""light_answer"",""entity_candidates.len"":""<=0"",""telemetry.tool_call_count"":0}",不进入研究；不调用研究 Tool,解释对新手可理解,R-ROUTE-RULE-001,核心候选,,skill:route
RT-002,明确研究指令规则直路由,functional,stage,01_intent: ir_a04,existing_test,,draft,route-fixture-v1,v1,研究下兆易创新,"{""fixture_note"":""含兆易创新候选""}",research_task + deep-research,deep-research,[],[],[],产生结构化研究路由结果,"{""route.result"":""research_task"",""route.matched_by"":""rule"",""route.reason"":""non_empty"",""entity_candidates.contains"":[""兆易创新""],""telemetry.llm_call_count"":0}",不误判成闲聊；规则通道不调 LLM,路由理由清楚,R-ROUTE-RULE-001,核心候选,,skill:route
RT-003,双标的对比进入研究,functional,stage,01_intent: ir_a06,existing_test,,draft,route-fixture-v1,v1,比亚迪和长城汽车哪个更值得投,{},research_task + deep-research,deep-research,[],[],[],产生带双实体的研究任务,"{""route.result"":""research_task"",""entity_candidates.contains"":[""比亚迪"",""长城汽车""]}",不丢失任一标的；不降级为单点回答,理由可读,R-ROUTE-RULE-002,核心候选,,skill:route
MT-004,ROE 使用平均净资产,functional,e2e,e2e_benchmark: MET-001,existing_test,,draft,metric-roe-ttm-v1,v1,请计算示例公司最新TTM ROE，并说明口径。,"{""fixture_data"":{""net_profit"":""12亿"",""equity_begin"":""80亿"",""equity_end"":""100亿""}}",research_task + deep-research,deep-research,"[""calc.metric""]",[],"[""calc.metric""]",输出 ROE=13.33%，含报告期、来源、口径,"{""tool.name"":""calc.metric"",""tool.args.symbol"":""TEST001.SH"",""tool.args.metric_id"":""roe"",""tool.status"":""ok"",""final.numeric.roe"":13.33,""final.numeric.roe.tolerance"":0.01,""final.source_trace"":""non_empty""}",工具计算；公式分母为平均净资产；数值正确；不得用期末净资产直接相除,说明口径,R-METRIC-EXACT-001,核心候选,,整链
MT-005,FCF 不扣并购和租赁本金,functional,e2e,e2e_benchmark: MET-002,existing_test,,draft,metric-fcf-v1,v1,这家公司2025年的自由现金流是多少？并购支出要不要扣？,"{""fixture_data"":{""OCF"":100,""Capex"":35,""并购"":20,""租赁"":5,""unit"":""亿元""}}",research_task + deep-research,deep-research,"[""calc.metric""]",[],"[""calc.metric""]",输出 FCF=65亿元 并说明 MVP 口径边界,"{""tool.name"":""calc.metric"",""tool.args.metric_id"":""fcf"",""final.numeric.fcf"":65,""final.caliber_version"":""non_empty""}",不得输出 40/45 亿；不把并购/租赁本金混入 MVP 口径,说明该口径偏差,R-METRIC-EXACT-002,核心候选,,整链
MT-006,ROIC 缺利息字段时透明降级,functional,e2e,e2e_benchmark: MET-003,existing_test,,draft,metric-roic-missing-interest-v1,v1,算一下示例公司的ROIC，利息费用没披露也给我一个结果。,"{""fixture_note"":""利息费用字段缺失""}",research_task + deep-research,deep-research,"[""calc.metric""]",[],"[""calc.metric""]",输出可计算结果或拒算；两者均须列明缺失字段与降级原因,"{""tool.args.metric_id"":""roic"",""final.fetch_status.in"":[""degraded"",""partial"",""unavailable""],""final.missing_fields.contains"":[""interest_expense""]}",不得声称已披露利息费用；不得静默近似,解释替代字段局限,R-METRIC-DEGRADE-001,否,,整链
DT-007,冲突时官方年报优先,functional,e2e,e2e_benchmark: DATA-001,existing_test,,draft,source-conflict-revenue-v1,v1,研究示例公司2025年营收，网上一篇文章说是98亿元。,"{""fixture_data"":{""annual_report"":""100亿"",""self_media"":""98亿""}}",research_task + deep-research,deep-research,"[""market.get_fundamentals"",""web.search"",""web.fetch""]",[],"[""market.get_fundamentals|web.search"",""web.fetch""]",采用年报 100 亿，说明冲突和采信理由,"{""tool.name.in"":[""market.get_fundamentals"",""web.search"",""web.fetch""],""final.numeric.revenue"":100,""final.source_level"":""S"",""final.conflicts.len"":"">=1""}",不取平均 99 亿；不隐藏冲突,解释官方优先原则,R-DATA-PROVENANCE-001,核心候选,,整链
DT-008,"""现在""的 PE 使用最新快照",functional,e2e,e2e_benchmark: DATA-002,existing_test,,draft,market-snapshot-test002-v1,v1,示例公司现在的PE和市值是多少？,"{""fixture_data"":{""PE"":21.4,""market_cap"":""3210亿"",""asof"":""固定""}}",light_answer,light-answer,"[""market.get_snapshot""]","[""deep-research.*""]","[""market.get_snapshot""]",输出 PE、市值、币种和时点,"{""route.result"":""light_answer"",""tool.args.symbol"":""TEST002.SH"",""tool.args.exact_match"":true,""final.numeric.pe"":21.4,""final.as_of"":""fixture_asof""}",不使用模型记忆中的旧估值；必须带时点,简洁解释,R-LIGHT-DATA-001,核心候选,,skill:light-answer
DT-009,港股实体消歧后再取数,functional,e2e,e2e_benchmark: DATA-003,existing_test,,draft,entity-smic-hk-v1,v1,研究一下中芯国际港股最近一年的收入和毛利率。,"{""fixture_candidates"":[""688981.SH"",""00981.HK""]}",research_task + deep-research,deep-research,"[""entity.resolve"",""market.get_fundamentals""]",[],"[""entity.resolve"",""market.get_fundamentals""]",基于港股主体输出收入、毛利率及币种/市场,"{""tool_sequence.entity.resolve.before_data_fetch"":true,""resolved.symbol"":""00981.HK"",""tool.args.market"":""HK""}",不得混用 A/H 股数据；不得调用 A 股代码对应数据,说明选择港股的依据,R-ENTITY-DISAMBIGUATION-001,核心候选,,整链
RS-010,单标的基础研究完整交付,functional,e2e,core_36: core_a01,existing_test,,draft,research-maotai-v1,v1,研究一下贵州茅台的投资价值,{},research_task + deep-research,deep-research,"[""entity.resolve"",""market.get_bundle"",""calc.base_pack"",""delivery.finish""]",[],"[""entity.resolve"",""market.get_bundle|calc.base_pack"",""delivery.finish""]",产出经准出校验的研究结论、证据引用和证伪条件,"{""final.metadata.validated"":true,""successful_data_tools.min"":1,""final.citations.len"":"">=1"",""final.sections.contains"":[""生意"",""财务"",""风险"",""估值""]}",不输出目标价、满仓、梭哈；包含证伪条件,叙述清晰,R-RESEARCH-BASE-001,核心候选,,整链
